,Station1,Station1_Lat,Station1_Lon,Station2,Station2_Lat,Station2_Lon,velocity_period_1,velocity_period_2,velocity_period_3,velocity_period_4,velocity_period_5,velocity_period_6,velocity_period_7,velocity_period_8,velocity_period_9,velocity_period_10,velocity_period_11,velocity_period_12,velocity_period_13,velocity_period_14,velocity_period_15
100,CC.CARB,46.98832,-122.00541,CC.JRO,46.27527,-122.21826,,,,,3.717887440381558,,,,,,,,,,
101,XD.MC06,46.552021,-122.157204,XD.MC08,46.553349,-121.963219,,,,,,,,,,,,,,,
102,CC.FLAT,46.18951,-122.35646,CC.HOA,46.24178,-122.19183,,,,,,,,,,,,,,,
103,UW.FL2,46.19622,-122.351486,UW.STOR,47.188099,-121.9888,,,,,2.1925703201302227,,,,,,,,,,
104,CC.PR03,46.903433,-122.032691,CC.SWF2,46.178349,-122.216766,,,,,2.0272429767198537,,,,,,,,,,
105,UW.ELK,46.30597,-122.34167,UW.SOS,46.243858,-122.137871,,,,,,,,,,,,,,,
106,TA.D04E,47.1786,-122.7715,XD.ME06,46.463291,-122.196968,,,,,,,,,,,,,,,
107,UW.TDL,46.35067,-122.21704,UW.WATCH,46.5707,-121.98712,,,,,,,,,,,,,,,
108,UW.TDL,46.35067,-122.21704,XD.MK07,46.152699,-122.116768,,,,,2.504489462547609,,,,,,,,,,
109,CC.GTWY,46.740208,-121.916966,CC.PR04,46.929773,-121.988592,,,,,2.208885270895726,,,,,,,,,,
110,XD.MG05,46.305882,-122.341927,XD.MI10,46.21928,-121.67823,,,,,,,,,,,,,,,
111,XD.MB07,46.623779,-122.042389,XD.MK12,46.113701,-121.363876,,,,,2.981664772727273,,,,,,,,,,
112,UW.CINE,46.5566,-122.5673,UW.PUPY,46.49542,-122.14613,,,,,,,,,,,,,,,
113,CC.CARB,46.98832,-122.00541,UW.FMW,46.941914,-121.671465,,,,,2.3234359605911328,,,,,,,,,,
114,UW.CDF,46.11712,-122.04625,XU.E070,46.509201,-122.453903,,,,,2.6676508709016393,,,,,,,,,,
115,UW.LO2,46.750599,-121.809601,XU.S060,46.9967,-122.518402,,,,,,,,,,,,,,,
116,UW.GHW,47.041489,-122.273727,XD.MI05,46.231098,-122.292122,,,,,,,,,,,,,,,
117,UW.TOUT,46.30318,-122.56306,UW.WATCH,46.5707,-121.98712,,,,,2.255806896551724,,,,,,,,,,
118,XU.N130,47.247002,-121.047997,XU.S070,46.980499,-122.243896,,,,,,,,,,,,,,,
119,UW.MOX,46.577004,-120.299609,UW.RCM,46.83557,-121.73318,,,,,2.508086732039223,,,,,,,,,,
120,CC.SUG,46.215549,-122.176262,XD.MG05,46.305882,-122.341927,,,,,,,,,,,,,,,
121,UW.TOLE,46.452694,-122.845399,UW.WPEQ,46.613279,-121.404485,,,,,,,,,,,,,,,
122,CC.CRBN,46.988155,-121.961026,UW.YELM,46.94016,-122.59081,,,,,2.582592078071183,,,,,,,,,,
123,UW.RVW,46.14975,-122.742996,YH.MF68,46.3088,-122.337502,,,,,2.754005769230769,,,,,,,,,,
124,TA.D04E,47.1786,-122.7715,TA.E04D,46.556599,-122.567299,,,,,2.384375149778588,,,,,,,,,,
125,UW.SHW,46.19364,-122.23492,UW.TOLE,46.452694,-122.845399,,,,,,,,,,,,,,,
126,CC.STD,46.23749,-122.22421,XD.MI10,46.21928,-121.67823,,,,,,,,,,,,,,,
127,CC.GNOB,46.79414,-121.91438,UW.MORSE,47.68901,-122.51448,,,,,2.411539817150063,,,,,,,,,,
128,UW.ASR,46.15259,-121.60164,XD.MF07,46.425629,-122.002274,,,,,2.6900202601716026,,,,,,,,,,
129,XU.N085,47.068699,-122.383598,XU.N120,47.216499,-121.481903,,,,,,,,,,,,,,,
130,CC.PANH,46.859032,-121.642592,YH.MF85,46.3932,-122.280296,,,,,,,,,,,,,,,
131,CC.VALT,46.214218,-122.189247,XD.MA05,46.754669,-122.226189,,,,,,,,,,,,,,,
132,XD.MH03,46.268421,-122.594116,XD.MH07,46.279812,-122.082024,,,,,2.573249204152249,,,,,,,,,,
133,CC.LOO,46.22375,-122.18439,UW.LCW2,46.66293,-122.6973,,,,,,,,,,,,,,,
134,CC.COPP,46.79798,-121.82875,CC.USFR,46.215333,-122.232778,,,,,2.772408163265306,,,,,,,,,,
135,CC.TAVI,46.7957,-121.88423,CC.USFR,46.215333,-122.232778,,,,,2.0368530831099196,,,,,,,,,,
136,CC.PR02,46.918303,-122.048695,UW.ELL,46.909512,-120.567513,,,,,,,,,,,,,,,
137,UW.STOR,47.188099,-121.9888,XD.MF07,46.425629,-122.002274,,,,,,,,,,,,,,,
138,UW.KNGST,47.80272,-122.51469,UW.SLF,47.76058,-120.52946,,,,,2.5961764135702747,,,,,,,,,,
139,UW.ELK,46.30597,-122.34167,UW.TRW,46.292068,-120.543121,,,,,,,,,,,,,,,
140,UW.ELK,46.30597,-122.34167,UW.JUN,46.14706,-122.152428,,,,,,,,,,,,,,,
141,CC.MAR,46.28532,-122.29667,CC.TAVI,46.7957,-121.88423,,,,,,,,,,,,,,,
142,CC.OPCH,46.731288,-121.5713,CC.PANH,46.859032,-121.642592,,,,,,,,,,,,,,,
143,UW.HSR,46.17428,-122.18065,UW.TOUT,46.30318,-122.56306,,,,,2.169440796503157,,,,,,,,,,
144,UW.GLK,46.557499,-121.610733,XD.MD05,46.523159,-122.278168,,,,,2.009538085827216,,,,,,,,,,
145,UW.HSR,46.17428,-122.18065,XD.MH07,46.279812,-122.082024,,,,,,,,,,,,,,,
146,XD.ME08,46.461948,-121.865639,XD.MK11,46.152538,-121.601936,,,,,,,,,,,,,,,
147,CC.STD,46.23749,-122.22421,XD.MG06,46.35014,-122.217453,,,,,,,,,,,,,,,
148,UW.TRW,46.292068,-120.543121,XD.ME06,46.463291,-122.196968,,,,,,,,,,,,,,,
149,UW.GMW,47.5488,-122.78546,XD.ME06,46.463291,-122.196968,,,,,1.7081435684647304,,,,,,,,,,
150,CC.STYX,46.963747,-122.080535,UW.RER,46.81858,-121.8425,,,,,1.890947112740605,,,,,,,,,,
151,XD.MB05,46.620869,-122.281021,XD.MF07,46.425629,-122.002274,,,,,,,,,,,,,,,
152,CC.PR02,46.918303,-122.048695,UW.RCS,46.870831,-121.732307,,,,,2.8590727774987443,,,,,,,,,,
153,XD.ME06,46.463291,-122.196968,XD.ME08,46.461948,-121.865639,,,,,,,,,,,,,,,
154,CC.SEP,46.19978,-122.190857,XD.MH03,46.268421,-122.594116,,,,,,,,,,,,,,,
155,UW.LACKA,46.85162,-122.48621,UW.MEW,47.20184,-122.6473,,,,,,,,,,,,,,,
156,UW.TWW,47.13801,-120.86952,XU.N120,47.216499,-121.481903,,,,,2.331447800925926,,,,,,,,,,
157,UW.RER,46.81858,-121.8425,XU.S065,46.866798,-122.3806,,,,,,,,,,,,,,,
158,XD.MH07,46.279812,-122.082024,XD.MJ09,46.184181,-121.92144,,,,,,,,,,,,,,,
159,UW.HSR,46.17428,-122.18065,XD.MJ02,46.138771,-122.701202,,,,,,,,,,,,,,,
160,UW.RER,46.81858,-121.8425,UW.YELM,46.94016,-122.59081,,,,,1.8714614554579674,,,,,,,,,,
161,UW.EDM,46.19717,-122.15121,XD.MF07,46.425629,-122.002274,,,,,2.282492417302799,,,,,,,,,,
162,CC.GNOB,46.79414,-121.91438,CC.PR03,46.903433,-122.032691,,,,,,,,,,,,,,,
163,UW.BDGR,46.85763,-120.29764,UW.MORSE,47.68901,-122.51448,,,,,1.717368820994908,,,,,,,,,,
164,UW.TOLT,47.6947,-121.6895,XD.MI09,46.22937,-121.834473,,,,,,,,,,,,,,,
165,CC.ELBE,46.76645,-122.19329,UW.TOUT,46.30318,-122.56306,,,,,1.7626023084025855,,,,,,,,,,
166,CC.ARAT,46.789,-121.853,UW.CINE,46.5566,-122.5673,,,,,1.8024080779944291,,,,,,,,,,
167,UW.TWW,47.13801,-120.86952,XU.S080,47.004002,-121.988098,,,,,2.0223238832853023,,,,,,,,,,
168,XD.ME02,46.439159,-122.707336,XD.MI10,46.21928,-121.67823,,,,,1.9269415514131087,,,,,,,,,,
